state,station_id,name,name_norm,address,suburb,postcode,lat,lng
NSW,1-GN9E-887,Ampol Hexham Diesel Stop,ampol hexham diesel stop,"360 Old Maitland Rd Cnr Pacific Hwy, Hexham NSW 2322",HEXHAM,2322,-32.827955,151.684425
NSW,1-GN9E-89,Shell Reddy  Express Raymond Terrace,shell reddy express raymond terrace,"105 Pacific Hwy (Cnr Kangaroo St), Raymond Terrace NSW 2324",RAYMOND TERRACE,2324,-32.760979,151.748708
NSW,1-GN9E-890,Ampol Foodary Windsor South,ampol foodary windsor south,"741 George St, Windsor South NSW 2756",WINDSOR SOUTH,2756,-33.638526,150.785041
NSW,1-GN9E-899,Ampol Foodary Luddenham,ampol foodary luddenham,"105 WILLMINGTON RD, LUDDENHAM NSW 2745",LUDDENHAM,2745,-33.8750603,150.6888912
NSW,1-GN9E-9,Shell Reddy  Express Heathcote,shell reddy express heathcote,"1355 Princess Hwy (Cnr Oliver Rd), Heathcote NSW 2233",HEATHCOTE,1355,-34.087761,151.007418
NSW,1-GN9E-90,Shell Reddy  Express Umina,shell reddy express umina,"1-3 Sydney Ave (Cnr Ocean Beach Rd), Umina NSW 2257",UMINA,2257,-33.521144,151.316491
NSW,1-GN9E-909,Ampol Foodary Wyong M1 Southbound Petrol,ampol foodary wyong m1 southbound petrol,"M1 Southbound, Wyong NSW 2259",WYONG,2259,-33.252841,151.405549
NSW,1-GN9E-910,Ampol Foodary Wyong M1 Northbound Diesel,ampol foodary wyong m1 northbound diesel,"M1 Northbound, Wyong NSW 2259",WYONG,2259,-33.256253,151.402518
NSW,1-GN9E-913,Ampol Foodary Wyong M1 Southbound Diesel,ampol foodary wyong m1 southbound diesel,"M1 Southbound, Wyong NSW 2259",WYONG,2259,-33.253679,151.404885
NSW,1-GN9E-914,Ampol Foodary Wyong M1 Northbound Petrol,ampol foodary wyong m1 northbound petrol,"M1 Northbound, Wyong NSW 2259",WYONG,2259,-33.255965,151.402726
NSW,1-GN9E-92,Shell Reddy Express Broadmeadow,shell reddy express broadmeadow,"2 Brunker Rd, Broadmeadow NSW 2292",BROADMEADOW,2292,-32.925089,151.736426
NSW,1-GN9E-93,Shell Reddy Express North Ryde,shell reddy express north ryde,"275 Lane Cove Rd, North Ryde NSW 2113",NORTH RYDE,2113,-33.785039,151.128758
NSW,1-GN9E-930,Ampol Foodary Yass,ampol foodary yass,"1715 Yass Valley Way, Yass NSW 2582",YASS,1715,-34.806963,148.88252
NSW,1-GN9E-94,Shell Reddy  Express Terrigal,shell reddy express terrigal,"250 Terrigal Dr (Cnr Bellbird Ave), Terrigal NSW 2260",TERRIGAL,2260,-33.440214,151.433848
